IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPBE,BEISEKER AGCM,71009,3020610,51.378613,-113.357223,896.0,GovAB,CA,AUTO,Alberta
CPBH,BULLHORN HEADWATERS,71016,3050965,49.1525,-113.550556,1326.0,GovAB,CA,AUTO,Alberta
CPBL,BELLSHILL AGCM,71010,3010650,52.582224,-111.465280,721.0,GovAB,CA,AUTO,Alberta
CPBM,BEAVER MINES,71304,3050602,49.467809,-114.175013,1256.789,MSC,CA,AUTO,Alberta
CPBN,BROWNVALE AGCM,71283,3070800,56.117778,-117.886391,748.0,GovAB,CA,AUTO,Alberta
CPBO,BRANDON RCS,71136,5010490,49.901793,-99.941349,405.774,MSC,CA,AUTO,Manitoba
CPBR,BULLHORN COULEE RESERVOIR,71839,3050960,49.295278,-113.358611,1115.0,GovAB,CA,AUTO,Alberta
CPBS,BASSANO AGCM,71008,3030540,50.892501,-112.465003,807.0,GovAB,CA,AUTO,Alberta
CPBU,BULL SPRINGS AGCM,,3030879,50.33947,-110.484100,780.0,GovAB,CA,AUTO,Alberta
CPCA,CADOGAN AGCM,71012,3010992,52.334169,-110.510001,690.0,GovAB,CA,AUTO,Alberta
CPCE,CEREAL AGCM,,3021463,51.275800,-110.824400,753.0,GovAB,CA,AUTO,Alberta
CPCF,CARROT CREEK AGCM,,3061350,53.623064,-115.893631,861.0,GovAB,CA,AUTO,Alberta
CPCH,FORT CHIPEWYAN RCS,71056,3072659,58.766305,-111.116619,239.0,MSC,CA,AUTO,Alberta
CPCI,CALGARY INT'L CS,71393,3031094,51.109309,-114.000258,1082.87,MSC,CA,AUTO,Alberta
CPCK,PINCHER CREEK CLIMATE,71736,3035208,49.522311,-114.004735,1189.391,MSC,CA,AUTO,Alberta
CPCM,CRAIGMYLE AGCM,71013,3021912,51.775000,-112.252223,845.0,GovAB,CA,AUTO,Alberta
CPCN,CAPPON,,3021200,51.066947,-110.796689,758.0,GovAB,CA,AUTO,Alberta
CPCR,GLENWOOD,71885,3032818,49.334444,-113.524444,1074.0,GovAB,CA,AUTO,Alberta
CPCS,HAZEL AGCM,,3071661,56.528905,-117.933352,672.0,GovAB,CA,AUTO,Alberta
CPCY,CARWAY,71488,3031402,48.9996,-113.3791,1355.1,MSC,CA,AUTO,Alberta
CPDU,DUPRE LITE,71414,3081690,54.366946,-110.867779,560,GovAB,CA,AUTO,Alberta
CPEL,EAGLESHAM AGCM,71461,3072151,55.808056,-117.886667,563.0,GovAB,CA,AUTO,Alberta
CPFE,FLEET AGCM,,3012635,52.040836,-111.813058,823.0,GovAB,CA,AUTO,Alberta
CPFF,FINNEGAN AGCM,,3022650,51.05319,-112.097370,748.0,GovAB,CA,AUTO,Alberta
CPFI,FINCASTLE AGDM,71535,3032550,49.8,-112.033333,833.0,GovAB,CA,AUTO,Alberta
CPFM,FORT MACLEOD AGCM,71789,3032683,49.785833,-113.379447,978.0,GovAB,CA,AUTO,Alberta
CPFR,ST. FRANCIS,,3012799,53.294731,-114.320011,809.0,GovAB,CA,AUTO,Alberta
CPGB,GOOSEBERRY LAKE AGCM,,3012871,52.113056,-110.8025,740.0,GovAB,CA,AUTO,Alberta
CPGF,GREAT FALLS CLIMATE,71570,5031201,50.459013,-96.010316,247.452,MSC,CA,AUTO,Manitoba
CPGH,GIMLI CLIMATE,71748,5031042,50.6333,-97.05,231.6,MSC,CA,AUTO,Manitoba
CPGI,GLEICHEN AGCM,71498,3032801,50.934446,-112.940558,907.0,GovAB,CA,AUTO,Alberta
CPHA,HALKIRK AGCM,71792,3012999,52.116391,-112.164167,843.0,GovAB,CA,AUTO,Alberta
CPHE,HEMARUKA AGCM,71793,3013140,51.779724,-111.211946,780.0,GovAB,CA,AUTO,Alberta
CPHJ,HIGH LEVEL,73085,3073148,58.6314,-117.163738,338.583,MSC,CA,AUTO,Alberta
CPHW,HAWK HILLS AGCM,71507,3073071,57.264723,-117.297503,455.0,GovAB,CA,AUTO,Alberta
CPIA,IRVINE AGCM,71795,3033550,49.989169,-110.261391,795.0,GovAB,CA,AUTO,Alberta
CPIF,ISLAND FALLS (AUT),71331,4063605,55.528161,-102.345178,299.453,MSC,CA,AUTO,Saskatchewan
CPII,ISLAND LAKE SOUTH,71654,3063600,54.816833,-113.56,619.7,MSC,CA,AUTO,Alberta
CPIL,LOON LAKE RCS,71273,4064620,54.019908,-109.137816,546.437,MSC,CA,AUTO,Saskatchewan
CPIN,BERNARD HARBOUR,73231,2300556,68.75528,-114.93970,62.0,DND,DND-AWOS,AUTO,Nunavut
CPIV,ISLAND LAKE AIRPORT,73100,5061378,53.857919,-94.652869,236.895,MSC,CA,AUTO,Manitoba
CPJM,ESTEVAN RCS,71559,4012410,49.205347,-102.967084,579.353,MSC,CA,AUTO,Saskatchewan
CPJN,JENPEG,73048,5060624,54.520662,-98.045568,222.2,MSC,CA,AUTO,Manitoba
CPJP,CROSS LAKE JENPEG 2,71106,5060622,54.539722,-98.030278,221.0,MSC,CA,AUTO,Manitoba
CPJT,JEAN COTE AGCM,71541,3073535,55.912779,-117.119724,638.0,GovAB,CA,AUTO,Alberta
CPKA,KESSLER AGCM,71796,3013644,52.290278,-111.113057,720.0,GovAB,CA,AUTO,Alberta
CPKG,KEG RIVER AGCM,,3073644,57.787500,-117.676667,408.0,GovAB,CA,AUTO,Alberta
CPKI,KITSCOTY AGCM,71797,3013660,53.353335,-110.416112,664.0,GovAB,CA,AUTO,Alberta
CPKK,KINIKINIK,,3063640,54.563075,-112.981117,629.0,GovAB,CA,AUTO,Alberta
